gisjoin,town,area,num,pop,pctwnh,Native white,Foreign-born white,Negro,Indian Chinese and Japanese,Source
Hartford1,Hartford,ward,1,12271,99,9080,3111,77,3,1920 Census report
Hartford2,Hartford,ward,2,21330,94,9889,10148,1253,40,1920 Census report
Hartford3,Hartford,ward,3,16552,91,10184,4849,1512,7,1920 Census report
Hartford4,Hartford,ward,4,9968,100,8138,1792,38,,1920 Census report
Hartford5,Hartford,ward,5,13099,93,8505,3632,935,27,1920 Census report
Hartford6,Hartford,ward,6,10079,99,7035,2897,93,54,1920 Census report
Hartford7,Hartford,ward,7,9402,99,7308,1991,101,2,1920 Census report
Hartford8,Hartford,ward,8,18947,100,13157,5732,53,5,1920 Census report
Hartford9,Hartford,ward,9,14445,99,10388,3953,90,14,1920 Census report
Hartford10,Hartford,ward,10,11943,100,9330,2562,47,4,1920 Census report
Bloomfield6,Bloomfield,district,6,1065,99,,,8,,1920 Census report
Bloomfield5,Bloomfield,district,5,1329,96,,,58,,1920 Census manuscript
Avon,Avon,town,,1534,99,,,,,1920 Census report with race estimate
Berlin,Berlin,town,,4298,99,,,,,1920 Census report with race estimate
Bristol,Bristol,town,,20620,100,14909,5638,532,12,1920 Census report
Burlington,Burlington,town,,1109,99,,,,,1920 Census report with race estimate
Canton,Canton,town,,2549,99,,,,,1920 Census report with race estimate
East Granby,East Granby,town,,1056,98,,,,,1920 Census report with race estimate
East Hartford,East Hartford,town,,11648,99,,,,,1920 Census report with race estimate
East Windsor,East Windsor,town,,3741,99,,,,,1920 Census report with race estimate
Enfield,Enfield,town,,11719,99,,,,,1920 Census report with race estimate
Farmington,Farmington,town,,3844,99,,,,,1920 Census report with race estimate
Glastonbury,Glastonbury,town,,5952,99,,,,,1920 Census report with race estimate
Granby,Granby,town,,1342,99,,,,,1920 Census report with race estimate
Hartland,Hartland,town,,448,100,,,,,1920 Census report with race estimate
Manchester,Manchester,town,,18370,100,,,,,1920 Census report with race estimate
Marlborough,Marlborough,town,,303,100,,,,,1920 Census report with race estimate
New Britain,New Britain,town,,59316,99,37763,21230,303,20,1920 Census report
Newington,Newington,town,,2381,98,,,,,1920 Census report with race estimate
Plainville,Plainville,town,,4114,96,,,,,1920 Census report with race estimate
Rocky Hill,Rocky Hill,town,,1633,100,,,,,1920 Census report with race estimate
Simsbury,Simsbury,town,,2958,99,,,,,1920 Census report with race estimate
South Windsor,South Windsor,town,,8440,100,,,,,1920 Census report with race estimate
Southington,Southington,town,,2142,100,,,,,1920 Census report with race estimate
Suffield,Suffield,town,,4070,96,,,,,1920 Census report with race estimate
West Hartford,West Hartford,town,,8854,97,,,,,1920 Census report with race estimate
Wethersfield,Wethersfield,town,,4342,97,,,,,1920 Census report with race estimate
Windsor,Windsor,town,,5620,96,,,,,1920 Census report with race estimate
Windsor Locks,Windsor Locks,town,,3554,99,,,,,1920 Census report with race estimate
