gisjoin,town,area,num,pop,pctwnh,White,Negro,Other Races,Puerto Rican or Spanish Surname,Source
Bristol,Bristol,town,,45499,99,45045,378,76,,1960 Census report
Burlington,Burlington,town,,2790,100,2784,3,3,,1960 Census report
East Granby,East Granby,town,,2434,99,2402,32,0,,1960 Census report
Granby,Granby,town,,4968,100,4952,9,7,,1960 Census report
Hartland,Hartland,town,,1040,100,1035,4,1,,1960 Census report
Marlborough,Marlborough,town,,1961,100,1952,9,0,,1960 Census report
G09000300001,New Britain,tract,1,2476,88,2345,121,10,167,1960 Census - Social Explorer
G09000300002,New Britain,tract,2,7199,97,7016,176,7,19,1960 Census - Social Explorer
G09000300003,New Britain,tract,3,5101,100,5098,0,3,16,1960 Census - Social Explorer
G09000300004,New Britain,tract,4,3480,100,3477,2,1,0,1960 Census - Social Explorer
G09000300005,New Britain,tract,5,1974,100,1973,1,0,0,1960 Census - Social Explorer
G09000300006,New Britain,tract,6,3804,98,3751,53,0,25,1960 Census - Social Explorer
G09000300007,New Britain,tract,7,4799,83,4055,738,6,62,1960 Census - Social Explorer
G09000300008,New Britain,tract,8,5745,96,5627,118,0,100,1960 Census - Social Explorer
G09000300009,New Britain,tract,9,4907,99,4901,6,0,33,1960 Census - Social Explorer
G09000300010,New Britain,tract,10,3795,95,3723,72,0,103,1960 Census - Social Explorer
G09000300011,New Britain,tract,11,3389,90,3074,315,0,12,1960 Census - Social Explorer
G09000300012,New Britain,tract,12,5894,94,5559,321,14,0,1960 Census - Social Explorer
G09000300013,New Britain,tract,13,3650,99,3630,16,4,4,1960 Census - Social Explorer
G09000300014,New Britain,tract,14,3800,100,3795,5,0,0,1960 Census - Social Explorer
G09000300015,New Britain,tract,15,4655,100,4652,0,3,0,1960 Census - Social Explorer
G09000300016,New Britain,tract,16,3472,99,3472,0,0,19,1960 Census - Social Explorer
G09000300017,New Britain,tract,17,3064,99,3026,33,5,0,1960 Census - Social Explorer
G09000300018,New Britain,tract,18,2606,89,2334,272,0,21,1960 Census - Social Explorer
G09000300019,New Britain,tract,19,2969,99,2961,8,0,19,1960 Census - Social Explorer
G09000300020,New Britain,tract,20,5422,97,5286,132,4,5,1960 Census - Social Explorer
G0900030AV0168,Avon,tract,168,5273,100,5255,15,3,0,1960 Census - Social Explorer
G0900030BE0001,Berlin,tract,1,11250,100,11205,43,2,0,1960 Census - Social Explorer
G0900030BL0115,Bloomfield,tract,115,3863,92,3538,313,12,0,1960 Census - Social Explorer
G0900030BL0116,Bloomfield,tract,116,2863,85,2431,432,0,0,1960 Census - Social Explorer
