gisjoin,town,area,num,pop,pctwnh,White,Negro,Other Races,Spanish Origin or Descent,Source
Hartland,Hartland,town,,1303,100,1299,1,3,,1970 Census report
G09000304001,Berlin,tract,4001,5444,99,5439,0,5,73,1970 Census - Social Explorer
G09000304002,Berlin,tract,4002,2488,98,2449,34,5,21,1970 Census - Social Explorer
G09000304003,Berlin,tract,4003,6217,99,6217,0,0,52,1970 Census - Social Explorer
G09000304051,Bristol,tract,4051,3662,100,3658,0,4,9,1970 Census - Social Explorer
G09000304052,Bristol,tract,4052,5166,99,5105,52,9,0,1970 Census - Social Explorer
G09000304053,Bristol,tract,4053,5923,99,5923,0,0,83,1970 Census - Social Explorer
G09000304054,Bristol,tract,4054,5527,95,5396,127,4,124,1970 Census - Social Explorer
G09000304055,Bristol,tract,4055,7265,98,7222,43,0,111,1970 Census - Social Explorer
G09000304056,Bristol,tract,4056,7087,99,7060,0,27,24,1970 Census - Social Explorer
G09000304057,Bristol,tract,4057,4397,98,4349,39,9,41,1970 Census - Social Explorer
G09000304058,Bristol,tract,4058,4417,98,4342,69,6,0,1970 Census - Social Explorer
G09000304059,Bristol,tract,4059,3696,100,3680,0,16,,1970 Census - Social Explorer
G09000304060,Bristol,tract,4060,8347,97,8144,184,19,84,1970 Census - Social Explorer
G09000304101,Burlington,tract,4101,4070,98,4000,70,0,30,1970 Census - Social Explorer
G09000304151,New Britain,tract,4151,1763,74,1716,47,0,418,1970 Census - Social Explorer
G09000304152,New Britain,tract,4152,1511,86,1389,122,0,86,1970 Census - Social Explorer
G09000304153,New Britain,tract,4153,2835,95,2769,59,7,78,1970 Census - Social Explorer
G09000304154,New Britain,tract,4154,6367,92,6115,223,29,244,1970 Census - Social Explorer
G09000304155,New Britain,tract,4155,3175,95,3026,131,18,19,1970 Census - Social Explorer
G09000304156,New Britain,tract,4156,3779,97,3754,25,0,71,1970 Census - Social Explorer
G09000304157,New Britain,tract,4157,4275,97,4258,17,0,117,1970 Census - Social Explorer
G09000304158,New Britain,tract,4158,2901,97,2886,11,4,69,1970 Census - Social Explorer
G09000304159,New Britain,tract,4159,3304,82,3243,53,8,549,1970 Census - Social Explorer
G09000304160,New Britain,tract,4160,4881,98,4824,39,18,58,1970 Census - Social Explorer
G09000304161,New Britain,tract,4161,5168,89,5030,134,4,431,1970 Census - Social Explorer
G09000304162,New Britain,tract,4162,4221,82,3909,303,9,429,1970 Census - Social Explorer
G09000304163,New Britain,tract,4163,3906,88,3714,192,0,290,1970 Census - Social Explorer
G09000304164,New Britain,tract,4164,3722,97,3672,23,27,68,1970 Census - Social Explorer
G09000304165,New Britain,tract,4165,7031,82,5914,1060,57,142,1970 Census - Social Explorer
G09000304166,New Britain,tract,4166,3723,75,3181,512,30,398,1970 Census - Social Explorer
G09000304167,New Britain,tract,4167,8569,92,8016,538,15,175,1970 Census - Social Explorer
G09000304168,New Britain,tract,4168,3343,100,3337,0,6,0,1970 Census - Social Explorer
G09000304169,New Britain,tract,4169,2290,94,2265,19,6,103,1970 Census - Social Explorer
G09000304170,New Britain,tract,4170,6677,98,6633,33,11,119,1970 Census - Social Explorer
G09000304201,Plainville,tract,4201,6172,97,6117,55,0,131,1970 Census - Social Explorer
G09000304202,Plainville,tract,4202,7379,93,7128,189,62,264,1970 Census - Social Explorer
G09000304203,Plainville,tract,4203,3182,98,3145,17,20,15,1970 Census - Social Explorer
G09000304301,Southington,tract,4301,4488,98,4475,6,7,73,1970 Census - Social Explorer
G09000304302,Southington,tract,4302,7245,99,7200,34,11,46,1970 Census - Social Explorer
G09000304303,Southington,tract,4303,4568,99,4532,24,12,0,1970 Census - Social Explorer
G09000304304,Southington,tract,4304,3581,100,3575,0,6,,1970 Census - Social Explorer
G09000304305,Southington,tract,4305,4839,98,4811,23,5,81,1970 Census - Social Explorer
G09000304306,Southington,tract,4306,6225,98,6188,0,37,100,1970 Census - Social Explorer
G09000304601,Farmington,tract,4601,2561,100,2555,6,0,,1970 Census - Social Explorer
G09000304602,Farmington,tract,4602,6025,99,5990,23,12,7,1970 Census - Social Explorer
G09000304603,Farmington,tract,4603,5804,99,5765,34,5,31,1970 Census - Social Explorer
G09000304621,Avon,tract,4621,4081,99,4059,16,6,24,1970 Census - Social Explorer
G09000304622,Avon,tract,4622,4271,99,4266,0,5,29,1970 Census - Social Explorer
G09000304641,Canton,tract,4641,6868,98,6772,63,33,26,1970 Census - Social Explorer
G09000304661,Simsbury,tract,4661,7622,99,7583,30,9,53,1970 Census - Social Explorer
G09000304662,Simsbury,tract,4662,3809,97,3792,17,0,83,1970 Census - Social Explorer
G09000304663,Simsbury,tract,4663,4201,100,4201,0,0,,1970 Census - Social Explorer
G09000304664,Simsbury,tract,4664,1843,96,1794,39,10,19,1970 Census - Social Explorer
G09000304681,Granby,tract,4681,6053,99,5993,31,29,7,1970 Census - Social Explorer
G09000304701,East Granby,tract,4701,3532,96,3473,59,0,81,1970 Census - Social Explorer
G09000304711,Bloomfield,tract,4711,4071,69,2875,1196,0,63,1970 Census - Social Explorer
G09000304712,Bloomfield,tract,4712,3641,74,2711,922,8,0,1970 Census - Social Explorer
G09000304713,Bloomfield,tract,4713,5490,97,5354,136,0,12,1970 Census - Social Explorer
G09000304714,Bloomfield,tract,4714,3910,96,3776,130,4,20,1970 Census - Social Explorer
G09000304715,Bloomfield,tract,4715,1189,94,1123,66,0,,1970 Census - Social Explorer
G09000304731,Windsor,tract,4731,3963,99,3923,14,26,0,1970 Census - Social Explorer
G09000304732,Windsor,tract,4732,5236,91,4919,305,12,129,1970 Census - Social Explorer
G09000304733,Windsor,tract,4733,3268,98,3263,5,0,63,1970 Census - Social Explorer
G09000304734,Windsor,tract,4734,2223,98,2210,13,0,41,1970 Census - Social Explorer
G09000304735,Windsor,tract,4735,3445,96,3375,65,5,55,1970 Census - Social Explorer
G09000304736,Windsor,tract,4736,4367,95,4171,196,0,6,1970 Census - Social Explorer
G09000304761,Windsor Locks,tract,4761,4833,97,4720,103,10,26,1970 Census - Social Explorer
G09000304762,Windsor Locks,tract,4762,3687,98,3616,71,0,,1970 Census - Social Explorer
G09000304763,Windsor Locks,tract,4763,6545,99,6490,26,29,6,1970 Census - Social Explorer
