gisjoin,town,area,num,pop,pctwnh,White (not Spanish origin),Black (not Spanish origin),"Asian, Pac Islnd, Am Indian (not Spanish)",Other Races (not Spanish origin),Spanish Origin,Source
G0900030330100,Hartland,tract 3301,,1416,99,1406,0,6,0,4,1980 Census - Social Explorer
G0900030400100,Berlin,tract 4001,,5724,98,5607,28,29,11,49,1980 Census - Social Explorer
G0900030400200,Berlin,tract 4002,,2945,99,2919,9,6,2,9,1980 Census - Social Explorer
G0900030400300,Berlin,tract 4003,,6452,99,6392,4,6,2,48,1980 Census - Social Explorer
G0900030405100,Bristol,tract 4051,,3463,97,3346,48,10,14,45,1980 Census - Social Explorer
G0900030405200,Bristol,tract 4052,,4772,97,4626,62,30,7,47,1980 Census - Social Explorer
G0900030405300,Bristol,tract 4053,,6720,97,6498,67,23,16,116,1980 Census - Social Explorer
G0900030405400,Bristol,tract 4054,,5958,96,5708,135,14,15,86,1980 Census - Social Explorer
G0900030405500,Bristol,tract 4055,,5291,94,4969,146,13,22,141,1980 Census - Social Explorer
G0900030405600,Bristol,tract 4056,,6355,98,6201,51,24,7,72,1980 Census - Social Explorer
G0900030405700,Bristol,tract 4057,,2439,99,2417,6,7,0,9,1980 Census - Social Explorer
G0900030405800,Bristol,tract 4058,,5319,97,5138,71,32,5,73,1980 Census - Social Explorer
G0900030405900,Bristol,tract 4059,,4131,98,4032,39,14,8,38,1980 Census - Social Explorer
G0900030406000,Bristol,tract 4060,,9450,94,8917,240,41,21,231,1980 Census - Social Explorer
G0900030406100,Bristol,tract 4061,,3472,95,3289,38,22,30,93,1980 Census - Social Explorer
G0900030410100,Burlington,tract 4101,,5660,98,5564,16,17,10,53,1980 Census - Social Explorer
G0900030415100,New Britain,tract 4151,,1362,61,836,97,10,13,406,1980 Census - Social Explorer
G0900030415200,New Britain,tract 4152,,512,76,388,41,4,1,78,1980 Census - Social Explorer
G0900030415300,New Britain,tract 4153,,2311,92,2121,75,11,14,90,1980 Census - Social Explorer
G0900030415400,New Britain,tract 4154,,5539,89,4910,259,28,47,295,1980 Census - Social Explorer
G0900030415500,New Britain,tract 4155,,2545,90,2287,127,18,12,101,1980 Census - Social Explorer
G0900030415600,New Britain,tract 4156,,3756,90,3393,117,30,17,199,1980 Census - Social Explorer
G0900030415700,New Britain,tract 4157,,3989,93,3693,44,20,17,215,1980 Census - Social Explorer
G0900030415800,New Britain,tract 4158,,2332,95,2211,32,5,14,70,1980 Census - Social Explorer
G0900030415900,New Britain,tract 4159,,2825,72,2041,82,13,24,665,1980 Census - Social Explorer
G0900030416000,New Britain,tract 4160,,3956,95,3768,25,9,11,143,1980 Census - Social Explorer
G0900030416100,New Britain,tract 4161,,4436,78,3462,192,14,56,712,1980 Census - Social Explorer
G0900030416200,New Britain,tract 4162,,3466,61,2098,441,22,38,867,1980 Census - Social Explorer
G0900030416300,New Britain,tract 4163,,3525,91,3211,168,3,22,121,1980 Census - Social Explorer
G0900030416400,New Britain,tract 4164,,3349,98,3278,17,5,6,43,1980 Census - Social Explorer
G0900030416500,New Britain,tract 4165,,5977,64,3823,944,50,35,1125,1980 Census - Social Explorer
G0900030416600,New Britain,tract 4166,,2986,71,2109,391,6,14,466,1980 Census - Social Explorer
G0900030416700,New Britain,tract 4167,,7230,80,5756,793,53,31,597,1980 Census - Social Explorer
G0900030416800,New Britain,tract 4168,,3127,96,2995,59,8,25,40,1980 Census - Social Explorer
G0900030416900,New Britain,tract 4169,,2129,95,2020,55,8,5,41,1980 Census - Social Explorer
G0900030417000,New Britain,tract 4170,,8488,95,8072,197,45,47,127,1980 Census - Social Explorer
G0900030420100,Plainville,tract 4201,,6131,97,5934,90,10,17,80,1980 Census - Social Explorer
G0900030420200,Plainville,tract 4202,,6748,94,6343,232,42,25,106,1980 Census - Social Explorer
G0900030420300,Plainville,tract 4203,,3522,96,3396,31,14,7,74,1980 Census - Social Explorer
G0900030430100,Southington,tract 4301,,4216,99,4163,4,11,3,35,1980 Census - Social Explorer
G0900030430200,Southington,tract 4302,,9808,98,9575,89,55,22,67,1980 Census - Social Explorer
G0900030430300,Southington,tract 4303,,5671,98,5571,33,21,5,41,1980 Census - Social Explorer
G0900030430400,Southington,tract 4304,,3398,98,3342,8,9,7,32,1980 Census - Social Explorer
G0900030430500,Southington,tract 4305,,5522,98,5416,38,15,3,50,1980 Census - Social Explorer
G0900030430600,Southington,tract 4306,,8264,98,8096,48,35,8,77,1980 Census - Social Explorer
G0900030460100,Farmington,tract 4601,,2251,99,2218,13,9,1,10,1980 Census - Social Explorer
G0900030460200,Farmington,tract 4602,,7490,96,7221,78,104,25,62,1980 Census - Social Explorer
G0900030460300,Farmington,tract 4603,,6666,98,6535,40,48,9,34,1980 Census - Social Explorer
G0900030462100,Avon,tract 4621,,5928,98,5812,28,40,14,34,1980 Census - Social Explorer
G0900030462200,Avon,tract 4622,,5273,98,5155,42,17,16,43,1980 Census - Social Explorer
G0900030464100,Canton,tract 4641,,7635,98,7506,23,37,23,46,1980 Census - Social Explorer
G0900030466100,Simsbury,tract 4661,,7674,97,7445,72,83,10,64,1980 Census - Social Explorer
G0900030466200,Simsbury,tract 4662,,6689,97,6474,47,82,29,57,1980 Census - Social Explorer
G0900030466300,Simsbury,tract 4663,,4737,98,4623,29,48,0,37,1980 Census - Social Explorer
G0900030466400,Simsbury,tract 4664,,2061,97,2002,26,14,12,7,1980 Census - Social Explorer
G0900030468100,Granby,tract 4681,,7956,98,7814,37,30,21,54,1980 Census - Social Explorer
G0900030470100,East Granby,tract 4701,,4102,98,4009,59,14,3,17,1980 Census - Social Explorer
G0900030471100,Bloomfield,tract 4711,,3923,40,1563,2144,47,38,131,1980 Census - Social Explorer
G0900030471200,Bloomfield,tract 4712,,3583,50,1808,1650,36,25,64,1980 Census - Social Explorer
G0900030471300,Bloomfield,tract 4713,,5072,87,4393,549,59,31,40,1980 Census - Social Explorer
G0900030471400,Bloomfield,tract 4714,,4227,91,3838,306,20,26,37,1980 Census - Social Explorer
G0900030471500,Bloomfield,tract 4715,,1803,67,1210,503,18,31,41,1980 Census - Social Explorer
G0900030473100,Windsor,tract 4731,,6099,79,4847,1052,84,39,77,1980 Census - Social Explorer
G0900030473400,Windsor,tract 4734,,1997,96,1915,47,11,9,15,1980 Census - Social Explorer
G0900030473501,Windsor,tract 4735.1,,2226,94,2086,56,44,2,38,1980 Census - Social Explorer
G0900030473502,Windsor,tract 4735.2,,2478,93,2299,106,18,5,50,1980 Census - Social Explorer
G0900030473601,Windsor,tract 4736.1,,2859,90,2569,223,39,20,8,1980 Census - Social Explorer
G0900030473602,Windsor,tract 4736.2,,2324,85,1986,159,115,18,46,1980 Census - Social Explorer
G0900030473700,Windsor,tract 4737,,5421,90,4862,443,23,13,80,1980 Census - Social Explorer
G0900030473800,Windsor,tract 4738,,1800,74,1323,420,8,1,48,1980 Census - Social Explorer
G0900030476100,Windsor Locks,tract 4761,,3797,97,3669,48,27,13,40,1980 Census - Social Explorer
G0900030476200,Windsor Locks,tract 4762,,3264,98,3197,38,15,3,11,1980 Census - Social Explorer
G0900030476300,Windsor Locks,tract 4763,,5129,99,5063,24,14,5,23,1980 Census - Social Explorer
G0900030477100,Suffield,tract 4771,,6712,97,6533,110,25,3,41,1980 Census - Social Explorer
G0900030477200,Suffield,tract 4772,,2582,98,2542,14,7,3,16,1980 Census - Social Explorer
G0900030480100,Enfield,tract 4801,,454,40,183,206,2,1,62,1980 Census - Social Explorer
G0900030480200,Enfield,tract 4802,,3106,98,3036,25,23,12,10,1980 Census - Social Explorer
G0900030480300,Enfield,tract 4803,,2732,97,2655,34,4,9,30,1980 Census - Social Explorer
G0900030480400,Enfield,tract 4804,,4697,97,4563,48,22,12,52,1980 Census - Social Explorer
G0900030480500,Enfield,tract 4805,,3080,99,3041,0,7,4,28,1980 Census - Social Explorer
G0900030480600,Enfield,tract 4806,,4217,95,4027,47,30,5,108,1980 Census - Social Explorer
G0900030480700,Enfield,tract 4807,,2520,99,2493,4,1,6,16,1980 Census - Social Explorer
G0900030480800,Enfield,tract 4808,,4017,98,3939,22,20,21,15,1980 Census - Social Explorer
G0900030480900,Enfield,tract 4809,,2760,94,2588,101,13,6,52,1980 Census - Social Explorer
G0900030481000,Enfield,tract 4810,,2872,97,2799,26,17,11,19,1980 Census - Social Explorer
G0900030481100,Enfield,tract 4811,,4775,99,4710,3,20,15,27,1980 Census - Social Explorer
G0900030481200,Enfield,tract 4812,,4123,98,4020,45,15,12,31,1980 Census - Social Explorer
G0900030481300,Enfield,tract 4813,,3342,98,3287,25,14,0,16,1980 Census - Social Explorer
G0900030484100,East Windsor,tract 4841,,4705,96,4511,141,17,5,31,1980 Census - Social Explorer
G0900030484200,East Windsor,tract 4842,,4220,95,4010,120,5,26,59,1980 Census - Social Explorer
G0900030487100,South Windsor,tract 4871,,4981,95,4749,121,43,10,58,1980 Census - Social Explorer
G0900030487200,South Windsor,tract 4872,,5906,96,5648,110,74,30,44,1980 Census - Social Explorer
G0900030487300,South Windsor,tract 4873,,1106,99,1090,5,4,3,4,1980 Census - Social Explorer
G0900030487400,South Windsor,tract 4874,,1833,94,1732,51,7,16,27,1980 Census - Social Explorer
G0900030487500,South Windsor,tract 4875,,3372,95,3196,117,23,11,25,1980 Census - Social Explorer
G0900030490100,Rocky Hill,tract 4901,,5049,95,4821,137,37,5,49,1980 Census - Social Explorer
G0900030490200,Rocky Hill,tract 4902,,909,96,874,27,4,1,3,1980 Census - Social Explorer
G0900030490300,Rocky Hill,tract 4903,,8601,96,8243,160,76,32,90,1980 Census - Social Explorer
G0900030492100,Wethersfield,tract 4921,,3533,98,3474,24,11,0,24,1980 Census - Social Explorer
G0900030492200,Wethersfield,tract 4922,,4597,99,4560,8,17,6,6,1980 Census - Social Explorer
G0900030492300,Wethersfield,tract 4923,,5247,98,5160,33,7,10,37,1980 Census - Social Explorer
G0900030492400,Wethersfield,tract 4924,,3285,97,3187,41,7,27,23,1980 Census - Social Explorer
G0900030492500,Wethersfield,tract 4925,,2566,99,2549,0,3,3,11,1980 Census - Social Explorer
G0900030492600,Wethersfield,tract 4926,,6785,98,6674,19,25,41,26,1980 Census - Social Explorer
G0900030494100,Newington,tract 4941,,4024,97,3913,35,17,5,54,1980 Census - Social Explorer
G0900030494200,Newington,tract 4942,,7387,96,7080,119,68,21,99,1980 Census - Social Explorer
G0900030494300,Newington,tract 4943,,4076,98,4006,18,11,5,36,1980 Census - Social Explorer
G0900030494400,Newington,tract 4944,,5122,99,5048,15,22,4,33,1980 Census - Social Explorer
G0900030494500,Newington,tract 4945,,4876,97,4709,54,30,10,73,1980 Census - Social Explorer
G0900030494600,Newington,tract 4946,,3356,97,3257,20,31,9,39,1980 Census - Social Explorer
G0900030496100,West Hartford,tract 4961,,2473,83,2064,205,49,21,134,1980 Census - Social Explorer
G0900030496200,West Hartford,tract 4962,,4774,95,4541,41,71,29,92,1980 Census - Social Explorer
G0900030496300,West Hartford,tract 4963,,3330,97,3232,16,40,13,29,1980 Census - Social Explorer
G0900030496400,West Hartford,tract 4964,,3264,97,3171,9,43,8,33,1980 Census - Social Explorer
G0900030496500,West Hartford,tract 4965,,2796,99,2761,4,19,0,12,1980 Census - Social Explorer
G0900030496600,West Hartford,tract 4966,,2474,98,2432,8,12,4,18,1980 Census - Social Explorer
G0900030496700,West Hartford,tract 4967,,3773,92,3472,103,95,26,77,1980 Census - Social Explorer
G0900030496800,West Hartford,tract 4968,,3388,95,3230,40,38,14,66,1980 Census - Social Explorer
G0900030496900,West Hartford,tract 4969,,6261,95,5926,50,115,34,136,1980 Census - Social Explorer
G0900030497000,West Hartford,tract 4970,,4353,97,4237,27,36,14,39,1980 Census - Social Explorer
G0900030497100,West Hartford,tract 4971,,3840,97,3737,30,23,11,39,1980 Census - Social Explorer
G0900030497200,West Hartford,tract 4972,,2227,98,2191,22,6,0,8,1980 Census - Social Explorer
G0900030497300,West Hartford,tract 4973,,3885,97,3760,44,29,23,29,1980 Census - Social Explorer
G0900030497400,West Hartford,tract 4974,,4006,98,3918,9,39,2,38,1980 Census - Social Explorer
G0900030497500,West Hartford,tract 4975,,3814,97,3713,28,50,4,19,1980 Census - Social Explorer
G0900030497600,West Hartford,tract 4976,,2465,98,2412,8,21,15,9,1980 Census - Social Explorer
G0900030497700,West Hartford,tract 4977,,4178,98,4092,29,22,14,21,1980 Census - Social Explorer
G0900030500100,Hartford,tract 5001,,3439,63,2179,187,33,47,993,1980 Census - Social Explorer
G0900030500200,Hartford,tract 5002,,2439,57,1388,132,29,29,861,1980 Census - Social Explorer
G0900030500300,Hartford,tract 5003,,3371,41,1381,274,34,16,1666,1980 Census - Social Explorer
G0900030500400,Hartford,tract 5004,,3039,21,641,658,15,23,1702,1980 Census - Social Explorer
G0900030500500,Hartford,tract 5005,,1123,51,574,177,5,20,347,1980 Census - Social Explorer
G0900030500600,Hartford,tract 5006,,86,69,59,4,0,0,23,1980 Census - Social Explorer
G0900030500700,Hartford,tract 5007,,528,39,208,213,3,5,99,1980 Census - Social Explorer
G0900030500800,Hartford,tract 5008,,695,1,7,476,1,1,210,1980 Census - Social Explorer
G0900030500900,Hartford,tract 5009,,1968,0,2,1388,0,4,574,1980 Census - Social Explorer
G0900030501000,Hartford,tract 5010,,3817,2,58,2570,7,18,1164,1980 Census - Social Explorer
G0900030501100,Hartford,tract 5011,,1319,8,106,1175,6,8,24,1980 Census - Social Explorer
G0900030501200,Hartford,tract 5012,,3151,1,16,2815,3,10,307,1980 Census - Social Explorer
G0900030501300,Hartford,tract 5013,,2391,2,46,1637,7,28,673,1980 Census - Social Explorer
G0900030501400,Hartford,tract 5014,,3433,1,48,2824,19,33,509,1980 Census - Social Explorer
G0900030501500,Hartford,tract 5015,,4404,1,48,4172,17,32,135,1980 Census - Social Explorer
G0900030501600,Hartford,tract 5016,,498,26,129,88,2,1,278,1980 Census - Social Explorer
G0900030501700,Hartford,tract 5017,,1790,3,57,568,1,15,1149,1980 Census - Social Explorer
G0900030501800,Hartford,tract 5018,,3142,1,26,1569,5,26,1516,1980 Census - Social Explorer
G0900030501900,Hartford,tract 5019,,588,64,376,10,5,3,194,1980 Census - Social Explorer
G0900030502000,Hartford,tract 5020,,436,67,292,39,2,0,103,1980 Census - Social Explorer
G0900030502100,Hartford,tract 5021,,1062,89,940,66,16,11,29,1980 Census - Social Explorer
G0900030502200,Hartford,tract 5022,,757,55,418,143,31,11,154,1980 Census - Social Explorer
G0900030502300,Hartford,tract 5023,,4083,97,3942,23,13,14,91,1980 Census - Social Explorer
G0900030502400,Hartford,tract 5024,,5110,91,4631,105,35,26,313,1980 Census - Social Explorer
G0900030502500,Hartford,tract 5025,,1587,82,1302,69,34,4,178,1980 Census - Social Explorer
G0900030502600,Hartford,tract 5026,,4061,97,3934,21,14,11,81,1980 Census - Social Explorer
G0900030502700,Hartford,tract 5027,,5191,83,4322,190,49,29,601,1980 Census - Social Explorer
G0900030502800,Hartford,tract 5028,,3717,41,1522,111,21,70,1993,1980 Census - Social Explorer
G0900030502900,Hartford,tract 5029,,2866,46,1325,110,31,56,1344,1980 Census - Social Explorer
G0900030503000,Hartford,tract 5030,,2951,52,1523,95,22,98,1213,1980 Census - Social Explorer
G0900030503100,Hartford,tract 5031,,4382,66,2914,1023,110,38,297,1980 Census - Social Explorer
G0900030503200,Hartford,tract 5032,,183,63,116,43,1,6,17,1980 Census - Social Explorer
G0900030503300,Hartford,tract 5033,,2438,31,745,1158,81,61,393,1980 Census - Social Explorer
G0900030503400,Hartford,tract 5034,,2564,24,616,1379,31,18,520,1980 Census - Social Explorer
G0900030503500,Hartford,tract 5035,,2379,3,65,1721,6,12,575,1980 Census - Social Explorer
G0900030503600,Hartford,tract 5036,,1287,49,628,580,33,4,42,1980 Census - Social Explorer
G0900030503700,Hartford,tract 5037,,3307,4,138,2814,14,31,310,1980 Census - Social Explorer
G0900030503800,Hartford,tract 5038,,3992,46,1846,1953,26,30,137,1980 Census - Social Explorer
G0900030503900,Hartford,tract 5039,,6189,10,622,5281,51,43,192,1980 Census - Social Explorer
G0900030504000,Hartford,tract 5040,,4466,16,733,3502,18,63,150,1980 Census - Social Explorer
G0900030504100,Hartford,tract 5041,,1626,66,1069,59,14,56,428,1980 Census - Social Explorer
G0900030504200,Hartford,tract 5042,,4357,68,2948,707,35,88,579,1980 Census - Social Explorer
G0900030504300,Hartford,tract 5043,,3169,71,2262,143,50,25,689,1980 Census - Social Explorer
G0900030504400,Hartford,tract 5044,,3747,84,3165,198,37,29,318,1980 Census - Social Explorer
G0900030504500,Hartford,tract 5045,,4390,74,3248,522,28,36,556,1980 Census - Social Explorer
G0900030504600,Hartford,tract 5046,,3936,8,307,1368,15,25,2221,1980 Census - Social Explorer
G0900030504700,Hartford,tract 5047,,2476,85,2093,131,12,17,223,1980 Census - Social Explorer
G0900030504800,Hartford,tract 5048,,3039,96,2931,6,12,19,71,1980 Census - Social Explorer
G0900030504900,Hartford,tract 5049,,5423,52,2820,854,36,57,1656,1980 Census - Social Explorer
G0900030510100,East Hartford,tract 5101,,2181,93,2035,90,4,15,37,1980 Census - Social Explorer
G0900030510200,East Hartford,tract 5102,,2419,95,2293,66,9,9,42,1980 Census - Social Explorer
G0900030510300,East Hartford,tract 5103,,4218,91,3819,255,29,9,106,1980 Census - Social Explorer
G0900030510400,East Hartford,tract 5104,,5265,91,4777,240,60,30,158,1980 Census - Social Explorer
G0900030510500,East Hartford,tract 5105,,3163,83,2616,350,51,21,125,1980 Census - Social Explorer
G0900030510600,East Hartford,tract 5106,,4575,88,4010,276,42,50,197,1980 Census - Social Explorer
G0900030510700,East Hartford,tract 5107,,5635,93,5219,210,66,44,96,1980 Census - Social Explorer
G0900030510800,East Hartford,tract 5108,,3603,90,3241,120,67,20,155,1980 Census - Social Explorer
G0900030510900,East Hartford,tract 5109,,4814,97,4649,56,22,10,77,1980 Census - Social Explorer
G0900030511000,East Hartford,tract 5110,,3735,97,3630,50,14,5,36,1980 Census - Social Explorer
G0900030511100,East Hartford,tract 5111,,3889,98,3820,11,8,18,32,1980 Census - Social Explorer
