gisjoin,town,area,num,pop,pctwnh,White non-Hispanic,Black or Af-Am non-Hispanic,Am Indian non-Hispanic,Asian or Pac Island non-Hispanic,Other race non-Hispanic,Hispanic,Source
G09000303301,Hartland,tract 3301,,1833,99,1808,2,3,11,0,9,1990 Census - Social Explorer
G09000304001,Berlin,tract 4001,,6759,96,6475,54,7,107,0,116,1990 Census - Social Explorer
G09000304002,Berlin,tract 4002,,3652,97,3554,19,3,23,0,53,1990 Census - Social Explorer
G09000304003,Berlin,tract 4003,,6376,98,6275,7,2,37,0,55,1990 Census - Social Explorer
G09000304051,Bristol,tract 4051,,3147,96,3018,52,5,21,8,43,1990 Census - Social Explorer
G09000304052,Bristol,tract 4052,,4757,97,4601,37,7,40,2,70,1990 Census - Social Explorer
G09000304053,Bristol,tract 4053,,6565,95,6227,107,7,79,1,144,1990 Census - Social Explorer
G09000304054,Bristol,tract 4054,,7473,94,7046,157,17,61,2,190,1990 Census - Social Explorer
G09000304055,Bristol,tract 4055,,5333,92,4880,167,7,35,2,242,1990 Census - Social Explorer
G09000304056,Bristol,tract 4056,,6757,96,6477,108,11,26,5,130,1990 Census - Social Explorer
G09000304057,Bristol,tract 4057,,2286,96,2186,39,9,13,0,39,1990 Census - Social Explorer
G09000304058,Bristol,tract 4058,,6913,96,6663,77,6,60,5,102,1990 Census - Social Explorer
G09000304059,Bristol,tract 4059,,4259,97,4116,51,1,28,1,62,1990 Census - Social Explorer
G0900030406001,Bristol,tract 4060.01,,4700,85,3975,239,4,28,5,449,1990 Census - Social Explorer
G0900030406002,Bristol,tract 4060.02,,5141,97,4972,58,5,55,5,46,1990 Census - Social Explorer
G09000304061,Bristol,tract 4061,,3426,93,3180,81,12,14,3,136,1990 Census - Social Explorer
G09000304101,Burlington,tract 4101,,7026,98,6893,39,5,32,1,56,1990 Census - Social Explorer
G09000304153,New Britain,tract 4153,,2130,85,1813,135,8,16,4,154,1990 Census - Social Explorer
G09000304154,New Britain,tract 4154,,5744,80,4569,526,12,86,11,540,1990 Census - Social Explorer
G09000304155,New Britain,tract 4155,,2582,79,2041,235,1,43,6,256,1990 Census - Social Explorer
G09000304156,New Britain,tract 4156,,3771,79,2975,228,5,29,3,531,1990 Census - Social Explorer
G09000304157,New Britain,tract 4157,,3918,84,3277,107,11,52,5,466,1990 Census - Social Explorer
