gisjoin,town,area,num,pop,pctwnh,White Alone (non Hispanic),Black or Af-Am Alone (non Hispanic),Am Indian Alone (non-Hispanic),Asian Alone (non-Hispanic),Nat Hawaii or Pacific Alone (non-Hispanic),Some other race alone (non-Hispanic),Two or more Races (non-Hispanic),Hispanic or Latino,Source
G0900030330100,Hartland,tract 3301,,2012,98,1972,2,1,12,1,1,11,12,2000 Census - Social Explorer
G0900030400100,Berlin,tract 4001,,6899,95,6527,31,1,172,1,3,47,117,2000 Census - Social Explorer
G0900030400200,Berlin,tract 4002,,4491,97,4341,18,1,32,0,0,32,67,2000 Census - Social Explorer
G0900030400300,Berlin,tract 4003,,6825,96,6579,14,7,96,1,1,44,83,2000 Census - Social Explorer
G0900030405100,Bristol,tract 4051,,3055,91,2790,61,8,47,1,9,35,104,2000 Census - Social Explorer
G0900030405200,Bristol,tract 4052,,4554,93,4254,45,5,85,1,2,56,106,2000 Census - Social Explorer
G0900030405300,Bristol,tract 4053,,6177,92,5688,117,8,104,0,3,74,183,2000 Census - Social Explorer
G0900030405400,Bristol,tract 4054,,7317,90,6589,207,21,131,0,2,96,271,2000 Census - Social Explorer
G0900030405500,Bristol,tract 4055,,5275,84,4435,134,9,45,3,5,79,565,2000 Census - Social Explorer
G0900030405600,Bristol,tract 4056,,6806,90,6098,187,12,64,3,7,75,360,2000 Census - Social Explorer
G0900030405700,Bristol,tract 4057,,2272,88,1997,67,4,17,0,4,44,139,2000 Census - Social Explorer
G0900030405800,Bristol,tract 4058,,7074,93,6603,92,20,68,3,15,70,203,2000 Census - Social Explorer
G0900030405900,Bristol,tract 4059,,4419,94,4169,73,4,51,4,3,39,76,2000 Census - Social Explorer
G0900030406001,Bristol,tract 4060.01,,4421,76,3380,222,12,38,0,8,83,678,2000 Census - Social Explorer
G0900030406002,Bristol,tract 4060.02,,5011,92,4633,62,2,173,1,3,41,96,2000 Census - Social Explorer
G0900030406100,Bristol,tract 4061,,3681,81,2974,186,7,56,0,9,64,385,2000 Census - Social Explorer
G0900030410100,Burlington,tract 4101,,8190,96,7902,46,2,60,4,2,64,110,2000 Census - Social Explorer
G0900030415300,New Britain,tract 4153,,2075,51,1051,286,6,16,0,8,72,636,2000 Census - Social Explorer
G0900030415400,New Britain,tract 4154,,5572,58,3240,678,7,112,2,9,136,1388,2000 Census - Social Explorer
G0900030415500,New Britain,tract 4155,,2741,48,1309,404,11,28,1,6,58,924,2000 Census - Social Explorer
G0900030415600,New Britain,tract 4156,,3935,54,2120,444,6,35,0,11,50,1269,2000 Census - Social Explorer
G0900030415700,New Britain,tract 4157,,3403,68,2316,253,1,49,1,10,55,718,2000 Census - Social Explorer
G0900030415800,New Britain,tract 4158,,2525,67,1692,214,0,45,0,5,39,530,2000 Census - Social Explorer
G0900030415900,New Britain,tract 4159,,1854,47,875,69,2,36,0,0,56,816,2000 Census - Social Explorer
G0900030416000,New Britain,tract 4160,,4509,66,2963,256,9,41,1,6,187,1046,2000 Census - Social Explorer
G0900030416100,New Britain,tract 4161,,4428,38,1668,490,3,26,0,5,105,2131,2000 Census - Social Explorer
G0900030416200,New Britain,tract 4162,,3046,27,829,534,6,80,0,1,47,1549,2000 Census - Social Explorer
G0900030416300,New Britain,tract 4163,,3463,61,2096,367,11,22,1,9,74,883,2000 Census - Social Explorer
G0900030416400,New Britain,tract 4164,,3232,86,2767,148,7,44,0,1,32,233,2000 Census - Social Explorer
G0900030416500,New Britain,tract 4165,,5292,52,2754,534,12,191,1,7,172,1621,2000 Census - Social Explorer
G0900030416600,New Britain,tract 4166,,2855,46,1301,282,1,30,0,5,35,1201,2000 Census - Social Explorer
G0900030416700,New Britain,tract 4167,,6903,53,3649,829,7,234,6,15,114,2049,2000 Census - Social Explorer
G0900030416800,New Britain,tract 4168,,3055,75,2283,197,2,130,0,6,59,378,2000 Census - Social Explorer
G0900030417100,New Britain,tract 4171,,1723,37,642,190,5,30,1,3,28,824,2000 Census - Social Explorer
G0900030417200,New Britain,tract 4172,,1792,67,1195,184,2,88,1,3,47,272,2000 Census - Social Explorer
G0900030417300,New Britain,tract 4173,,1679,79,1320,203,3,26,1,1,23,102,2000 Census - Social Explorer
G0900030417400,New Britain,tract 4174,,2965,77,2285,234,1,245,0,10,31,159,2000 Census - Social Explorer
G0900030417500,New Britain,tract 4175,,4491,83,3728,169,4,128,1,1,51,409,2000 Census - Social Explorer
G0900030420400,Plainville,tract 4204,,3354,95,3183,37,3,29,0,2,29,71,2000 Census - Social Explorer
G0900030420500,Plainville,tract 4205,,4897,87,4278,171,8,116,2,7,43,272,2000 Census - Social Explorer
G0900030420600,Plainville,tract 4206,,5650,91,5154,127,7,101,0,8,66,187,2000 Census - Social Explorer
G0900030420700,Plainville,tract 4207,,3427,94,3235,42,4,43,0,0,15,88,2000 Census - Social Explorer
G0900030430100,Southington,tract 4301,,4068,95,3869,18,4,29,0,3,45,100,2000 Census - Social Explorer
G0900030430201,Southington,tract 4302.01,,3270,93,3045,38,2,72,0,2,21,90,2000 Census - Social Explorer
G0900030430202,Southington,tract 4302.02,,4108,96,3929,19,8,52,0,2,19,79,2000 Census - Social Explorer
G0900030430203,Southington,tract 4302.03,,4062,96,3880,30,7,32,0,5,41,67,2000 Census - Social Explorer
G0900030430301,Southington,tract 4303.01,,3079,97,2987,19,0,20,0,0,20,33,2000 Census - Social Explorer
G0900030430302,Southington,tract 4303.02,,2834,97,2747,14,1,20,0,1,17,34,2000 Census - Social Explorer
G0900030430400,Southington,tract 4304,,4205,96,4027,25,1,32,0,0,47,73,2000 Census - Social Explorer
G0900030430500,Southington,tract 4305,,6058,96,5815,49,1,45,0,0,42,106,2000 Census - Social Explorer
G0900030430601,Southington,tract 4306.01,,4564,93,4224,85,3,53,1,1,54,143,2000 Census - Social Explorer
G0900030430602,Southington,tract 4306.02,,3480,95,3295,21,5,56,0,0,27,76,2000 Census - Social Explorer
G0900030460100,Farmington,tract 4601,,2507,93,2341,29,2,65,0,4,18,48,2000 Census - Social Explorer
G0900030460201,Farmington,tract 4602.01,,8568,90,7746,150,5,386,0,23,64,194,2000 Census - Social Explorer
G0900030460202,Farmington,tract 4602.02,,3786,90,3421,55,4,183,0,5,46,72,2000 Census - Social Explorer
G0900030460301,Farmington,tract 4603.01,,5219,92,4780,87,13,150,0,6,37,146,2000 Census - Social Explorer
G0900030460302,Farmington,tract 4603.02,,3561,94,3335,33,2,90,1,3,40,57,2000 Census - Social Explorer
G0900030462101,Avon,tract 4621.01,,5961,94,5612,50,1,153,2,7,38,98,2000 Census - Social Explorer
G0900030462102,Avon,tract 4621.02,,2743,95,2614,25,0,56,0,0,14,34,2000 Census - Social Explorer
G0900030462201,Avon,tract 4622.01,,4847,93,4531,48,5,136,0,4,41,82,2000 Census - Social Explorer
G0900030462202,Avon,tract 4622.02,,2281,91,2068,30,0,124,0,7,17,35,2000 Census - Social Explorer
G0900030464101,Canton,tract 4641.01,,4866,97,4700,21,1,38,1,3,47,55,2000 Census - Social Explorer
G0900030464102,Canton,tract 4641.02,,3974,96,3814,23,2,26,1,13,37,58,2000 Census - Social Explorer
G0900030466101,Simsbury,tract 4661.01,,3991,94,3760,25,3,88,2,0,28,85,2000 Census - Social Explorer
G0900030466102,Simsbury,tract 4661.02,,4901,94,4617,35,3,113,4,5,46,78,2000 Census - Social Explorer
G0900030466201,Simsbury,tract 4662.01,,2357,89,2100,109,0,72,0,1,24,51,2000 Census - Social Explorer
G0900030466202,Simsbury,tract 4662.02,,4790,96,4620,19,1,54,1,1,38,56,2000 Census - Social Explorer
G0900030466300,Simsbury,tract 4663,,4812,95,4585,20,4,111,0,3,35,54,2000 Census - Social Explorer
G0900030466400,Simsbury,tract 4664,,2383,93,2207,58,4,45,0,0,35,34,2000 Census - Social Explorer
G0900030468101,Granby,tract 4681.01,,6496,97,6276,41,18,47,1,0,28,85,2000 Census - Social Explorer
G0900030468102,Granby,tract 4681.02,,3851,97,3724,20,5,30,1,1,21,49,2000 Census - Social Explorer
G0900030470100,East Granby,tract 4701,,4745,95,4497,62,4,50,0,12,48,72,2000 Census - Social Explorer
G0900030471100,Bloomfield,tract 4711,,3870,13,493,3014,8,35,2,12,123,183,2000 Census - Social Explorer
G0900030471200,Bloomfield,tract 4712,,3279,17,547,2475,15,25,1,9,94,113,2000 Census - Social Explorer
G0900030471300,Bloomfield,tract 4713,,4230,45,1898,1975,4,94,0,9,104,146,2000 Census - Social Explorer
G0900030471400,Bloomfield,tract 4714,,5011,69,3448,1247,3,52,0,10,91,160,2000 Census - Social Explorer
G0900030471500,Bloomfield,tract 4715,,3197,38,1213,1734,3,44,0,3,84,116,2000 Census - Social Explorer
G0900030473100,Windsor,tract 4731,,6089,51,3101,2414,3,106,4,10,136,315,2000 Census - Social Explorer
G0900030473400,Windsor,tract 4734,,1830,79,1440,230,1,39,1,7,42,70,2000 Census - Social Explorer
G0900030473501,Windsor,tract 4735.01,,4212,76,3208,573,0,237,0,5,59,130,2000 Census - Social Explorer
G0900030473502,Windsor,tract 4735.02,,3235,74,2399,520,6,97,0,8,57,148,2000 Census - Social Explorer
G0900030473601,Windsor,tract 4736.01,,3326,81,2707,391,7,66,0,4,37,114,2000 Census - Social Explorer
G0900030473602,Windsor,tract 4736.02,,2207,70,1554,352,4,154,3,2,40,98,2000 Census - Social Explorer
G0900030473700,Windsor,tract 4737,,5615,52,2918,2089,11,112,0,14,125,346,2000 Census - Social Explorer
G0900030473800,Windsor,tract 4738,,1723,25,431,960,3,69,0,2,74,184,2000 Census - Social Explorer
G0900030476100,Windsor Locks,tract 4761,,4070,90,3656,132,5,91,0,0,49,137,2000 Census - Social Explorer
G0900030476200,Windsor Locks,tract 4762,,2784,96,2667,23,3,24,0,0,19,48,2000 Census - Social Explorer
