gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or More Races (non-Hispanic),Hispanic or Latino,Source
G0900030330100,Hartland,tract 3301,,2114,97,2044,9,6,17,0,3,23,12,2010 Census - Social Explorer
G0900030400100,Berlin,tract 4001,,7195,91,6560,55,14,269,0,8,58,231,2010 Census - Social Explorer
G0900030400200,Berlin,tract 4002,,5769,93,5337,46,5,158,0,8,39,176,2010 Census - Social Explorer
G0900030400300,Berlin,tract 4003,,6902,94,6484,27,2,100,2,1,48,238,2010 Census - Social Explorer
G0900030405100,Bristol,tract 4051,,3171,84,2650,107,6,68,2,2,37,299,2010 Census - Social Explorer
G0900030405200,Bristol,tract 4052,,4447,88,3927,81,2,165,0,1,50,221,2010 Census - Social Explorer
G0900030405300,Bristol,tract 4053,,6140,88,5405,159,5,107,2,12,101,349,2010 Census - Social Explorer
G0900030405401,Bristol,tract 4054.01,,3325,88,2930,76,1,84,1,4,51,178,2010 Census - Social Explorer
G0900030405402,Bristol,tract 4054.02,,3982,78,3112,201,3,85,0,11,92,478,2010 Census - Social Explorer
G0900030405500,Bristol,tract 4055,,5206,80,4184,209,1,51,0,14,80,667,2010 Census - Social Explorer
G0900030405600,Bristol,tract 4056,,7222,78,5635,293,17,106,1,15,148,1007,2010 Census - Social Explorer
G0900030405700,Bristol,tract 4057,,2186,78,1714,105,5,36,0,2,39,285,2010 Census - Social Explorer
G0900030405800,Bristol,tract 4058,,7388,90,6660,164,8,118,1,7,109,321,2010 Census - Social Explorer
G0900030405900,Bristol,tract 4059,,4636,88,4090,122,7,88,0,5,81,243,2010 Census - Social Explorer
G0900030406001,Bristol,tract 4060.01,,4054,72,2937,203,5,32,0,5,110,762,2010 Census - Social Explorer
G0900030406002,Bristol,tract 4060.02,,4810,91,4366,89,11,142,2,2,47,151,2010 Census - Social Explorer
G0900030406100,Bristol,tract 4061,,3910,66,2584,226,4,73,1,12,142,868,2010 Census - Social Explorer
G0900030410101,Burlington,tract 4101.01,,5246,94,4948,27,1,75,0,4,40,151,2010 Census - Social Explorer
G0900030410102,Burlington,tract 4101.02,,4055,95,3836,28,0,61,3,0,32,95,2010 Census - Social Explorer
G0900030415300,New Britain,tract 4153,,2282,30,690,375,5,12,0,3,49,1148,2010 Census - Social Explorer
G0900030415400,New Britain,tract 4154,,6289,41,2559,864,7,138,2,26,149,2544,2010 Census - Social Explorer
G0900030415500,New Britain,tract 4155,,2930,31,906,406,9,47,0,16,55,1491,2010 Census - Social Explorer
G0900030415600,New Britain,tract 4156,,4215,38,1616,513,8,30,1,15,85,1947,2010 Census - Social Explorer
G0900030415700,New Britain,tract 4157,,3266,50,1632,412,4,45,1,9,76,1087,2010 Census - Social Explorer
G0900030415800,New Britain,tract 4158,,2473,52,1297,336,2,21,1,6,44,766,2010 Census - Social Explorer
G0900030415900,New Britain,tract 4159,,1788,47,846,99,1,19,0,0,23,800,2010 Census - Social Explorer
G0900030416000,New Britain,tract 4160,,4516,59,2673,288,1,60,0,1,86,1407,2010 Census - Social Explorer
G0900030416100,New Britain,tract 4161,,4809,28,1353,462,5,21,1,3,127,2837,2010 Census - Social Explorer
G0900030416200,New Britain,tract 4162,,3102,21,648,466,1,45,1,3,54,1884,2010 Census - Social Explorer
G0900030416300,New Britain,tract 4163,,3737,42,1585,504,9,26,0,7,61,1545,2010 Census - Social Explorer
G0900030416400,New Britain,tract 4164,,3313,73,2420,235,4,40,0,11,65,538,2010 Census - Social Explorer
G0900030416500,New Britain,tract 4165,,4703,48,2264,531,9,142,0,3,70,1684,2010 Census - Social Explorer
G0900030416600,New Britain,tract 4166,,2937,35,1025,323,4,29,1,18,42,1495,2010 Census - Social Explorer
G0900030416700,New Britain,tract 4167,,6561,48,3129,709,6,247,1,14,122,2333,2010 Census - Social Explorer
G0900030416800,New Britain,tract 4168,,3019,61,1851,287,4,110,0,10,88,669,2010 Census - Social Explorer
G0900030417100,New Britain,tract 4171,,1886,26,491,207,3,16,1,5,23,1140,2010 Census - Social Explorer
G0900030417200,New Britain,tract 4172,,1822,63,1144,164,5,78,0,1,44,386,2010 Census - Social Explorer
G0900030417300,New Britain,tract 4173,,2150,77,1658,252,4,47,1,6,39,143,2010 Census - Social Explorer
G0900030417400,New Britain,tract 4174,,2954,63,1873,301,8,371,4,0,50,347,2010 Census - Social Explorer
G0900030417500,New Britain,tract 4175,,4454,73,3259,248,0,128,1,9,66,743,2010 Census - Social Explorer
G0900030420400,Plainville,tract 4204,,2839,93,2641,41,1,57,0,1,17,81,2010 Census - Social Explorer
G0900030420500,Plainville,tract 4205,,5442,82,4489,216,11,104,3,16,89,514,2010 Census - Social Explorer
G0900030420600,Plainville,tract 4206,,5880,87,5117,175,3,133,3,1,70,378,2010 Census - Social Explorer
G0900030420700,Plainville,tract 4207,,3555,91,3225,74,6,86,0,0,42,122,2010 Census - Social Explorer
G0900030430100,Southington,tract 4301,,4103,93,3810,35,10,65,0,7,28,148,2010 Census - Social Explorer
G0900030430201,Southington,tract 4302.01,,3388,88,2991,51,16,162,0,0,33,135,2010 Census - Social Explorer
G0900030430202,Southington,tract 4302.02,,4709,94,4415,30,2,93,2,2,32,133,2010 Census - Social Explorer
G0900030430203,Southington,tract 4302.03,,4212,95,4007,42,4,59,0,1,16,83,2010 Census - Social Explorer
G0900030430301,Southington,tract 4303.01,,3599,94,3366,45,0,58,0,2,38,90,2010 Census - Social Explorer
