gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or more races (non-Hispanic),Hispanic or Latino,Source
G0900030330100,Hartland,tract 3301,,2041,91,1857,5,80,14,0,4,55,26,ACS 2014-18 - Social Explorer
G0900030400100,Berlin,tract 4001,,7406,88,6522,15,0,287,0,16,56,510,ACS 2014-18 - Social Explorer
G0900030400200,Berlin,tract 4002,,6052,93,5620,165,0,28,0,0,95,144,ACS 2014-18 - Social Explorer
G0900030400300,Berlin,tract 4003,,7061,92,6485,41,0,100,0,0,114,321,ACS 2014-18 - Social Explorer
G0900030405100,Bristol,tract 4051,,3191,76,2421,106,0,44,0,0,158,462,ACS 2014-18 - Social Explorer
G0900030405200,Bristol,tract 4052,,3722,89,3311,24,0,58,0,0,123,206,ACS 2014-18 - Social Explorer
G0900030405300,Bristol,tract 4053,,6294,81,5094,127,13,0,0,0,41,1019,ACS 2014-18 - Social Explorer
G0900030405401,Bristol,tract 4054.01,,3377,76,2555,60,0,81,0,0,267,414,ACS 2014-18 - Social Explorer
G0900030405402,Bristol,tract 4054.02,,3951,63,2472,333,0,392,0,0,73,681,ACS 2014-18 - Social Explorer
G0900030405500,Bristol,tract 4055,,5405,69,3704,151,0,237,0,0,0,1313,ACS 2014-18 - Social Explorer
G0900030405600,Bristol,tract 4056,,7403,74,5456,278,0,0,0,0,78,1591,ACS 2014-18 - Social Explorer
G0900030405700,Bristol,tract 4057,,2160,84,1810,39,0,0,0,0,17,294,ACS 2014-18 - Social Explorer
G0900030405800,Bristol,tract 4058,,7294,85,6230,133,47,170,0,0,68,646,ACS 2014-18 - Social Explorer
G0900030405900,Bristol,tract 4059,,4512,78,3531,218,0,26,0,0,140,597,ACS 2014-18 - Social Explorer
G0900030406001,Bristol,tract 4060.01,,4199,62,2583,331,1,21,0,0,155,1108,ACS 2014-18 - Social Explorer
G0900030406002,Bristol,tract 4060.02,,4428,85,3752,78,0,108,0,37,109,344,ACS 2014-18 - Social Explorer
