Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,pop,white,nonwhite,pctw,pctnw
1,"Census Tract 1, Hartford County, Connecticut",140,9.003E+11,9,3,4036,4016,20,,
2,"Census Tract 2, Hartford County, Connecticut",140,9.003E+11,9,3,2585,2585,0,,
3,"Census Tract 3, Hartford County, Connecticut",140,9.003E+11,9,3,8106,8101,5,,
4,"Census Tract 4, Hartford County, Connecticut",140,9.003E+11,9,3,2105,2104,1,,
5,"Census Tract 5, Hartford County, Connecticut",140,9.003E+11,9,3,4048,4045,3,,
6,"Census Tract 6, Hartford County, Connecticut",140,9.003E+11,9,3,3148,3133,15,,
7,"Census Tract 7, Hartford County, Connecticut",140,9.003E+11,9,3,4323,3513,810,,
8,"Census Tract 8, Hartford County, Connecticut",140,9.003E+11,9,3,1627,955,672,,
9,"Census Tract 9, Hartford County, Connecticut",140,9.003E+11,9,3,3967,981,2986,,
10,"Census Tract 10, Hartford County, Connecticut",140,9.003E+11,9,3,3387,3205,182,,
11,"Census Tract 11, Hartford County, Connecticut",140,9.003E+11,9,3,6771,6075,696,,
12,"Census Tract 12, Hartford County, Connecticut",140,9.003E+11,9,3,4053,4043,10,,
13,"Census Tract 13, Hartford County, Connecticut",140,9.003E+11,9,3,5310,5186,124,,
14,"Census Tract 14, Hartford County, Connecticut",140,9.003E+11,9,3,2601,2539,62,,
15,"Census Tract 15, Hartford County, Connecticut",140,9.003E+11,9,3,3481,2982,499,,
16,"Census Tract 16, Hartford County, Connecticut",140,9.003E+11,9,3,6248,5523,725,,
17,"Census Tract 17, Hartford County, Connecticut",140,9.003E+11,9,3,1719,1719,0,,
18,"Census Tract 18, Hartford County, Connecticut",140,9.003E+11,9,3,2317,2317,0,,
19,"Census Tract 19, Hartford County, Connecticut",140,9.003E+11,9,3,2834,2814,20,,
20,"Census Tract 20, Hartford County, Connecticut",140,9.003E+11,9,3,4155,4135,20,,
21,"Census Tract 21, Hartford County, Connecticut",140,9.003E+11,9,3,7052,6958,94,,
22,"Census Tract 22, Hartford County, Connecticut",140,9.003E+11,9,3,2322,2312,10,,
23,"Census Tract 23, Hartford County, Connecticut",140,9.003E+11,9,3,5486,5486,0,,
24,"Census Tract 24, Hartford County, Connecticut",140,9.003E+11,9,3,5545,5539,6,,
25,"Census Tract 25, Hartford County, Connecticut",140,9.003E+11,9,3,5965,5946,19,,
26,"Census Tract 26, Hartford County, Connecticut",140,9.003E+11,9,3,4364,4364,0,,
27,"Census Tract 27, Hartford County, Connecticut",140,9.003E+11,9,3,4462,4460,2,,
28,"Census Tract 28, Hartford County, Connecticut",140,9.003E+11,9,3,5001,4996,5,,
29,"Census Tract 29, Hartford County, Connecticut",140,9.003E+11,9,3,1739,1737,2,,
30,"Census Tract 30, Hartford County, Connecticut",140,9.003E+11,9,3,2145,2143,2,,
31,"Census Tract 31, Hartford County, Connecticut",140,9.003E+11,9,3,3670,3667,3,,
32,"Census Tract 32, Hartford County, Connecticut",140,9.003E+11,9,3,2238,2213,25,,
33,"Census Tract 33, Hartford County, Connecticut",140,9.003E+11,9,3,636,627,9,,
34,"Census Tract 34, Hartford County, Connecticut",140,9.003E+11,9,3,4515,4470,45,,
35,"Census Tract 35, Hartford County, Connecticut",140,9.003E+11,9,3,6791,6775,16,,
36,"Census Tract 36, Hartford County, Connecticut",140,9.003E+11,9,3,2232,2228,4,,
37,"Census Tract 37, Hartford County, Connecticut",140,9.003E+11,9,3,5157,5138,19,,
38,"Census Tract 38, Hartford County, Connecticut",140,9.003E+11,9,3,3989,3985,4,,
39,"Census Tract 39, Hartford County, Connecticut",140,9.003E+11,9,3,4599,4570,29,,
40,"Census Tract 40, Hartford County, Connecticut",140,9.003E+11,9,3,7523,7520,3,,
41,"Census Tract 41, Hartford County, Connecticut",140,9.003E+11,9,3,4015,4014,1,,
C1,"Census Tract C1, Hartford County, Connecticut",140,09003C0001000,9,3,3160,3159,1,,
C2,"Census Tract C2, Hartford County, Connecticut",140,09003C0002000,9,3,4553,4538,15,,
C3,"Census Tract C3, Hartford County, Connecticut",140,09003C0003000,9,3,5992,5991,1,,
C4,"Census Tract C4, Hartford County, Connecticut",140,09003C0004000,9,3,7213,7194,19,,
C5,"Census Tract C5, Hartford County, Connecticut",140,09003C0005000,9,3,7108,7053,55,,
C6,"Census Tract C6, Hartford County, Connecticut",140,09003C0006000,9,3,5750,5682,68,,
C7,"Census Tract C7, Hartford County, Connecticut",140,09003C0007000,9,3,4309,4179,130,,
C8,"Census Tract C8, Hartford County, Connecticut",140,09003C0008000,9,3,6860,6769,91,,
C9,"Census Tract C9, Hartford County, Connecticut",140,09003C0009000,9,3,3208,3088,120,,
C10,"Census Tract C10, Hartford County, Connecticut",140,09003C0010000,9,3,3391,3382,9,,
C11,"Census Tract C11, Hartford County, Connecticut",140,09003C0011000,9,3,6406,6344,62,,
C12,"Census Tract C12, Hartford County, Connecticut",140,09003C0012000,9,3,4750,4740,10,,
C13,"Census Tract C13, Hartford County, Connecticut",140,09003C0013000,9,3,4068,4060,8,,
C14,"Census Tract C14, Hartford County, Connecticut",140,09003C0014000,9,3,3923,3802,121,,
C15,"Census Tract C15, Hartford County, Connecticut",140,09003C0015000,9,3,5721,5693,28,,
C16,"Census Tract C16, Hartford County, Connecticut",140,09003C0016000,9,3,5449,5428,21,,
