join,town,area,num,pop,pctw,pctnw,,,,,,,,,,,,,,
Hartford1,Hartford,ward,1,14890,99,0,,,,,,,,,,,,,,
Hartford2,Hartford,ward,2,16705,89,10,,,,,,,,,,,,,,
Hartford3,Hartford,ward,3,13051,78,22,,,,,,,,,,,,,,
Hartford4,Hartford,ward,4,9457,99,1,,,,,,,,,,,,,,
Hartford5,Hartford,ward,5,11570,89,10,,,,,,,,,,,,,,
Hartford6,Hartford,ward,6,6505,99,1,,,,,,,,,,,,,,
Hartford7,Hartford,ward,7,12781,99,1,,,,,,,,,,,,,,
Hartford8,Hartford,ward,8,10844,100,0,,,,,,,,,,,,,,
Hartford9,Hartford,ward,9,14694,100,0,,,,,,,,,,,,,,
Hartford10,Hartford,ward,10,6828,98,2,,,,,,,,,,,,,,
Hartford11,Hartford,ward,11,9066,100,0,,,,,,,,,,,,,,
Hartford12,Hartford,ward,12,10866,100,0,,,,,,,,,,,,,,
Hartford13,Hartford,ward,13,7018,100,0,,,,,,,,,,,,,,
Hartford14,Hartford,ward,14,8555,100,0,,,,,,,,,,,,,,
Hartford15,Hartford,ward,15,11242,100,0,,,,,,,,,,,,,,
Bloomfield91,Bloomfield,district,91,973,99,1,,,,,,,,,,,,,,
Bloomfield92,Bloomfield,district,92,27,100,0,,,,,,,,,,,,,,
Bloomfield93,Bloomfield,district,93,2368,95,5,,,,,,,,,,,,,,
West Hartford220,West Hartford,district,220,2176,99,1,,,,,,,,,,,,,,
West Hartford221,West Hartford,district,221,238,99,1,,,,,,,,,,,,,,
West Hartford222,West Hartford,district,222,1043,98,2,,,,,,,,,,,,,,
West Hartford223,West Hartford,district,223,234,99,1,,,,,,,,,,,,,,
West Hartford224,West Hartford,district,224,177,100,0,,,,,,,,,,,,,,
West Hartford225,West Hartford,district,225,2280,100,0,,,,,,,,,,,,,,
West Hartford226,West Hartford,district,226,2465,99,1,,,,,,,,,,,,,,
West Hartford227,West Hartford,district,227,2046,100,0,,,,,,,,,,,,,,
West Hartford228,West Hartford,district,228,6507,100,0,,,,,,,,,,,,,,
West Hartford229,West Hartford,district,229,1222,100,0,,,,,,,,,,,,,,
West Hartford230,West Hartford,district,230,55,100,0,,,,,,,,,,,,,,
West Hartford231,West Hartford,district,231,2198,100,0,,,,,,,,,,,,,,
West Hartford232,West Hartford,district,232,1846,100,0,,,,,,,,,,,,,,
West Hartford233,West Hartford,district,233,69,100,0,,,,,,,,,,,,,,
West Hartford234,West Hartford,district,234,2533,100,0,,,,,,,,,,,,,,
Avon,Avon,town,,1738,100,0,,,,,,,,,,,,,,
Berlin,Berlin,town,,4875,99,1,,,,,,,,,,,,,,
Bristol,Bristol,town,,28451,100,0,,,,,,,,,,,,,,
Burlington,Burlington,town,,1082,99,1,,,,,,,,,,,,,,
Canton,Canton,town,,2397,99,1,,,,,,,,,,,,,,
East Granby,East Granby,town,,1003,97,3,,,,,,,,,,,,,,
East Hartford,East Hartford,town,,17125,99,1,,,,,,,,,,,,,,
East Windsor,East Windsor,town,,3815,99,1,,,,,,,,,,,,,,
Enfield,Enfield,town,,13404,100,0,,,,,,,,,,,,,,
Farmington,Farmington,town,,4548,100,0,,,,,,,,,,,,,,
Glastonbury,Glastonbury,town,,5783,99,1,,,,,,,,,,,,,,
Granby,Granby,town,,1388,99,1,,,,,,,,,,,,,,
Hartland,Hartland,town,,296,100,0,,,,,,,,,,,,,,
Manchester,Manchester,town,,21973,100,0,,,,,,,,,,,,,,
Marlborough,Marlborough,town,,319,100,0,,,,,,,,,,,,,,
New Britain,New Britain,town,,68128,99,1,,,,,,,,,,,,,,
Newington,Newington,town,,4572,99,1,,,,,,,,,,,,,,
Plainville,Plainville,town,,6301,97,3,,,,,,,,,,,,,,
Rocky Hill,Rocky Hill,town,,2021,99,1,,,,,,,,,,,,,,
Simsbury,Simsbury,town,,3625,100,0,,,,,,,,,,,,,,
South Windsor,South Windsor,town,,9237,99,1,,,,,,,,,,,,,,
Southington,Southington,town,,2535,100,0,,,,,,,,,,,,,,
Suffield,Suffield,town,,4346,96,4,,,,,,,,,,,,,,
Wethersfield,Wethersfield,town,,7512,98,2,,,,,,,,,,,,,,
Windsor,Windsor,town,,8290,97,3,,,,,,,,,,,,,,
Windsor Locks,Windsor Locks,town,,4073,99,1,,,,,,,,,,,,,,
