gisjoin,town,area,num,pop,pctw,pctnw
G0900030C0001,West Hartford,tract,C1,3160,100,0
G0900030C0002,West Hartford,tract,C2,4553,100,0
G0900030C0003,West Hartford,tract,C3,5992,100,0
G0900030C0004,West Hartford,tract,C4,7213,100,0
G0900030C0005,West Hartford,tract,C5,7108,99,1
G0900030C0006,West Hartford,tract,C6,5750,99,1
G0900030C0007,Bloomfield,tract,C7,4309,97,3
G0900030C0008,Windsor,tract,C8,6860,99,1
G0900030C0009,Windsor,tract,C9,3208,96,4
G0900030C0010,East Hartford,tract,C10,3391,100,0
G0900030C0011,East Hartford,tract,C11,6406,99,1
G0900030C0012,East Hartford,tract,C12,4750,100,0
G0900030C0013,East Hartford,tract,C13,4068,100,0
G0900030C0014,Wethersfield,tract,C14,3923,97,3
G0900030C0015,Wethersfield,tract,C15,5721,100,0
G0900030C0016,Newington,tract,C16,5449,100,0
G09000300001,Hartford,tract,1,4036,100,0
G09000300002,Hartford,tract,2,2585,100,0
G09000300003,Hartford,tract,3,8106,100,0
G09000300004,Hartford,tract,4,2105,100,0
G09000300005,Hartford,tract,5,4048,100,0
G09000300006,Hartford,tract,6,3148,100,0
G09000300007,Hartford,tract,7,4323,81,19
G09000300008,Hartford,tract,8,1627,59,41
G09000300009,Hartford,tract,9,3967,25,75
G09000300010,Hartford,tract,10,3387,95,5
G09000300011,Hartford,tract,11,6771,90,10
G09000300012,Hartford,tract,12,4053,100,0
G09000300013,Hartford,tract,13,5310,98,2
G09000300014,Hartford,tract,14,2601,98,2
G09000300015,Hartford,tract,15,3481,86,14
G09000300016,Hartford,tract,16,6248,88,12
G09000300017,Hartford,tract,17,1719,100,0
G09000300018,Hartford,tract,18,2317,100,0
G09000300019,Hartford,tract,19,2834,99,1
G09000300020,Hartford,tract,20,4155,100,0
G09000300021,Hartford,tract,21,7052,99,1
G09000300022,Hartford,tract,22,2322,100,0
G09000300023,Hartford,tract,23,5486,100,0
G09000300024,Hartford,tract,24,5545,100,0
G09000300025,Hartford,tract,25,5965,100,0
G09000300026,Hartford,tract,26,4364,100,0
G09000300027,Hartford,tract,27,4462,100,0
G09000300028,Hartford,tract,28,5001,100,0
G09000300029,Hartford,tract,29,1739,100,0
G09000300030,Hartford,tract,30,2145,100,0
G09000300031,Hartford,tract,31,3670,100,0
G09000300032,Hartford,tract,32,2238,99,1
G09000300033,Hartford,tract,33,636,99,1
G09000300034,Hartford,tract,34,4515,99,1
G09000300035,Hartford,tract,35,6791,100,0
G09000300036,Hartford,tract,36,2232,100,0
G09000300037,Hartford,tract,37,5157,100,0
G09000300038,Hartford,tract,38,3989,100,0
G09000300039,Hartford,tract,39,4599,99,1
G09000300040,Hartford,tract,40,7523,100,0
G09000300041,Hartford,tract,41,4015,100,0
