gisjoin,town,area,num,pop,pctw,pctnw
Avon,Avon,town,,2258,100,0
Berlin,Berlin,town,,5230,98,2
Bristol,Bristol,town,,30167,100,0
Burlington,Burlington,town,,1246,100,0
Canton,Canton,town,,2769,99,1
East Granby,East Granby,town,,1225,96,4
East Windsor,East Windsor,town,,3967,98,2
Enfield,Enfield,town,,13561,100,0
Farmington,Farmington,town,,5313,99,1
Glastonbury,Glastonbury,town,,6632,99,1
Granby,Granby,town,,1544,100,0
Hartland,Hartland,town,,300,100,0
Manchester,Manchester,town,,23799,100,0
Marlborough,Marlborough,town,,476,100,0
New Britain,New Britain,town,,68685,100,0
Plainville,Plainville,town,,6935,97,3
Rocky Hill,Rocky Hill,town,,2679,100,0
Simsbury,Simsbury,town,,3941,100,0
South Windsor,South Windsor,town,,9646,99,1
Southington,Southington,town,,2863,100,0
Suffield,Suffield,town,,4475,96,4
Windsor Locks,Windsor Locks,town,,4347,99,1
