Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,,gisjoin,Geo_state,Geo_county,pop,pctw,pctnw
1,"Census Tract 0001, Hartford County, Connecticut",140,900300010000,0001,G09000300001,9,3,3846,100,0
2,"Census Tract 0002, Hartford County, Connecticut",140,900300020000,0002,G09000300002,9,3,3459,100,0
3,"Census Tract 0003, Hartford County, Connecticut",140,900300030000,0003,G09000300003,9,3,7227,100,0
4,"Census Tract 0004, Hartford County, Connecticut",140,900300040000,0004,G09000300004,9,3,3024,100,0
5,"Census Tract 0005, Hartford County, Connecticut",140,900300050000,0005,G09000300005,9,3,3572,100,0
6,"Census Tract 0006, Hartford County, Connecticut",140,900300060000,0006,G09000300006,9,3,2562,95,5
7,"Census Tract 0007, Hartford County, Connecticut",140,900300070000,0007,G09000300007,9,3,4138,61,39
8,"Census Tract 0008, Hartford County, Connecticut",140,900300080000,0008,G09000300008,9,3,1830,53,47
9,"Census Tract 0009, Hartford County, Connecticut",140,900300090000,0009,G09000300009,9,3,5534,8,92
10,"Census Tract 0010, Hartford County, Connecticut",140,900300100000,0010,G09000300010,9,3,3685,86,14
11,"Census Tract 0011, Hartford County, Connecticut",140,900300110000,0011,G09000300011,9,3,6732,82,18
12,"Census Tract 0012, Hartford County, Connecticut",140,900300120000,0012,G09000300012,9,3,3676,100,0
13,"Census Tract 0013, Hartford County, Connecticut",140,900300130000,0013,G09000300013,9,3,4799,94,6
14,"Census Tract 0014, Hartford County, Connecticut",140,900300140000,0014,G09000300014,9,3,2592,94,6
15,"Census Tract 0015, Hartford County, Connecticut",140,900300150000,0015,G09000300015,9,3,3194,81,19
16,"Census Tract 0016, Hartford County, Connecticut",140,900300160000,0016,G09000300016,9,3,6312,83,17
17,"Census Tract 0017, Hartford County, Connecticut",140,900300170000,0017,G09000300017,9,3,1551,100,0
18,"Census Tract 0018, Hartford County, Connecticut",140,900300180000,0018,G09000300018,9,3,2068,100,0
19,"Census Tract 0019, Hartford County, Connecticut",140,900300190000,0019,G09000300019,9,3,2892,96,4
20,"Census Tract 0020, Hartford County, Connecticut",140,900300200000,0020,G09000300020,9,3,4525,99,1
21,"Census Tract 0021, Hartford County, Connecticut",140,900300210000,0021,G09000300021,9,3,6484,99,1
22,"Census Tract 0022, Hartford County, Connecticut",140,900300220000,0022,G09000300022,9,3,2778,97,3
